exit,fitness,n_valid,pf_is,pf_oos,mk_oos_z2
Ret_96,0.0,5,1.0643389585133476,3.646141476006958,82.1
Ret_72,59.125,6,1.1773033895303813,1.2754000807504964,32.0
Ret_96,33.375,6,1.0925124108186315,1.3703331647965205,24.099999999999998
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,34.1
Ret_96,0.0,6,1.0923631309179866,1.3631688076011113,31.4
Ret_96,0.0,6,1.0502049137898972,1.423487048735336,45.4
Ret_48,15.75,6,1.0624687876542194,1.2643497524394935,56.699999999999996
Ret_96,45.875,6,1.1962192260579145,1.272907448811849,14.7
Ret_72,69.625,6,1.2356467831116318,1.3425898725361713,41.9
Ret_72,35.25,5,1.1158044500015976,1.5452231878986822,83.5
Ret_96,0.0,6,1.0591551005168665,1.4412638646955125,84.3
Ret_96,0.0,6,1.0506087467185,1.422348161202188,25.5
Ret_96,0.0,6,1.0845308316927247,1.4113784867339079,32.300000000000004
Ret_96,53.25,6,1.020093254226397,1.8059028166988247,97.3
Ret_72,0.0,6,1.045944694555196,1.264871009712435,30.4
Ret_96,31.0,6,1.0526962537374287,1.348886226505074,30.3
Ret_96,23.125,6,1.1488621176922265,1.4988183701956481,64.8
Ret_96,0.0,6,1.0794865861161422,1.4227651572156825,44.5
Ret_96,34.625,6,1.1011258488082971,1.4491653545178933,77.60000000000001
Ret_96,39.625,6,1.0906180622935755,1.5969644471500197,84.3
Ret_96,27.500000000000004,6,1.0701614781338329,1.364786370457277,10.5
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,34.8
Ret_96,0.0,6,1.0931738727299392,1.4158029673327146,44.800000000000004
Ret_96,20.625,6,1.0840997040122136,1.3430763554314946,13.900000000000002
Ret_96,0.0,6,1.0530895798291382,1.3612746136125704,2.8000000000000003
Ret_24,84.5,6,1.118605879964982,1.2184098281392364,74.4
Ret_48,44.375,6,1.0682427202961913,1.3207782732809996,63.6
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,36.3
Ret_72,63.5,5,1.0834477597414691,1.1300888013779313,12.6
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,35.699999999999996
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,38.1
Ret_96,0.0,6,1.090023389011564,1.3786888575255496,15.1
Ret_48,90.875,4,1.3162554382145428,1.1931547781535616,39.900000000000006
Ret_24,41.125,4,1.059519958135246,1.1654980095516743,68.2
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,38.2
Ret_96,43.25,6,1.0708285849084223,1.2891682653055878,12.0
Ret_96,33.375,6,1.0525956971154415,1.1947270711996985,9.2
Ret_96,18.25,6,1.090256719382373,1.4255410175909464,57.599999999999994
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,35.699999999999996
Ret_96,68.75,5,1.2235214665350702,1.1739589522553244,33.2
Ret_96,0.0,6,1.047438904841963,1.375500077937763,35.0
Ret_72,13.5,6,1.0662779488798009,1.4305246971249572,86.8
Ret_96,0.0,6,1.0623062023708547,1.3183853508529064,8.200000000000001
Ret_96,53.375,6,1.127294303320594,1.4012433888170797,46.7
Ret_96,26.25,6,1.1290761991211689,1.4493128862179185,63.6
Ret_96,72.125,6,1.135682011925868,1.7814382931333652,94.89999999999999
Ret_96,19.625,6,1.069104223804573,1.4058510925750605,47.9
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,32.800000000000004
Ret_96,32.0,6,1.0576977103852752,1.4736966278288575,84.1
Ret_72,26.125,6,1.099496862188345,1.2520754630212254,2.8000000000000003
Ret_96,11.25,6,1.1363004756136332,1.4522145193727451,52.800000000000004
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,35.099999999999994
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,31.900000000000002
Ret_96,69.0,6,1.1248867954395425,1.3637493530994913,35.6
Ret_96,0.0,6,1.0401944654729645,1.3823967346174602,28.999999999999996
Ret_96,49.25,6,1.1100220718300382,1.4681089316120244,62.6
Ret_96,70.375,6,1.1583063979893717,1.3547938229570986,28.1
Ret_96,7.625,6,1.0673613478791446,1.3678029317310032,30.9
Ret_72,67.875,6,1.1412045807071576,1.3851382386582285,68.4
Ret_96,33.75,6,1.1026943761637893,1.3593626488737582,12.9
Ret_96,0.0,6,1.048901684679934,1.3649086726179942,22.400000000000002
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,34.599999999999994
Ret_96,0.0,5,1.1827897579897138,1.2816419861675519,26.3
Ret_96,31.5,6,1.0973228205857857,1.4463808987831508,72.2
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,37.3
Ret_96,9.0,6,1.0500995224205671,1.3779952389128867,3.5999999999999996
Ret_96,44.50000000000001,6,1.0375644328434626,1.4714143366235661,60.9
SINTETICA_REVERSE,34.0,4,1.0660467188620453,1.2438765068333582,74.0
Ret_96,9.25,6,1.0537791101090668,1.451409367376922,68.0
Ret_96,66.125,6,1.2266904648567152,1.5691774729479886,73.4
Ret_72,32.5,6,1.0437898960404355,1.5911277868552718,97.2
Ret_96,0.0,6,1.0720842313491088,1.5651143719244054,94.1
Ret_72,54.375,6,1.105597035739003,1.6121788628291787,95.0
Ret_96,62.75,6,1.117015251704551,1.487651596705009,70.19999999999999
Ret_96,36.5,6,1.0744150250509026,1.4546241545766396,61.6
Ret_96,69.125,6,1.1182025265262514,1.4719056237958899,63.7
Ret_96,17.75,6,1.0815708423942114,1.3229878176015724,9.0
Ret_72,15.625,6,1.0935050664679555,1.3781777152482964,78.8
Ret_96,35.125,6,1.1206374485554231,1.4863834017093953,65.10000000000001
Ret_96,74.5,6,1.1527618270290345,1.3138124223550185,0.8999999999999999
Ret_96,41.875,6,1.0752851381503328,1.4278159747976304,43.8
Ret_96,11.75,6,1.0619907477278179,1.3691698436958437,9.4
Ret_96,0.0,6,1.073031753622241,1.4267082132515614,49.6
Ret_96,29.375,6,1.0886505099606358,1.2485137233604526,16.400000000000002
Ret_96,0.0,6,1.0661765838377648,1.392301764446087,21.9
Ret_96,21.75,6,1.0591899023093152,1.4246915780605995,53.2
Ret_96,15.5,6,1.0623420261035912,1.2997820121869506,20.200000000000003
Ret_96,8.375,6,1.0634789862339749,1.3843106214514058,35.6
Ret_72,0.0,6,1.1488331208658302,1.3554334159623254,51.1
Ret_96,72.875,6,1.2256140002495532,1.55237653850276,88.6
Ret_48,83.25,5,1.14095441650902,1.2576055305708012,52.1
Ret_96,24.125,6,1.0761150401288109,1.4401198903817738,59.5
Ret_96,0.0,6,1.0630424234599383,1.3850389401335381,18.7
Ret_96,34.125,6,1.0527249364650713,1.2207257773238345,12.7
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,35.3
Ret_96,0.0,6,1.1088464552729806,1.4989012404216981,76.1
Ret_96,23.0,6,1.0704207293297523,1.460524263260056,65.3
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,35.5
Ret_96,16.5,6,1.078916409258241,1.6427321926176242,89.8
Ret_96,0.0,6,1.0429600748611758,1.3734321455735488,6.5
Ret_96,10.5,6,1.117768527571938,1.3923268522853165,42.8
Ret_72,62.25,6,1.0453222604531256,1.3350958905955612,56.599999999999994
