sym,tf,rule,side,exit,n_oos,sr,skew,kurt,form,mk_oos_z2,dsr
XAUUSD,H4,slope10_natr_89_sft >= 0.0029|slope5_mom_34_sft <= 1.90,SHORT,SINTETICA_REVERSE,46,0.14783031379867373,5.173660146366485,32.57313463544901,True,100.0,0.00021263732634508814
XAUUSD,H4,minus_di_13_sft >= 15.722|slope10_natr_89_sft >= 0.0029,SHORT,SINTETICA_REVERSE,58,0.016428730943231988,1.209354958313321,6.5542073666447855,True,84.5,0.0001860026635803192
XAUUSD,H4,slope5_mom_34_sft <= 1.9081|slope10_natr_89_sft >= 0.00,SHORT,SINTETICA_REVERSE,52,-0.021569024273831623,0.5127498448988809,3.3692661731973153,True,71.2,0.0001686833154986359
XAUUSD,H4,slope10_rsi_13_sft <= 2.5184|slope10_natr_89_sft >= 0.0,SHORT,SINTETICA_REVERSE,66,0.05587757088697912,2.6107414962600877,15.22180552716624,True,94.9,0.00010605627322636074
XAUUSD,H4,slope10_natr_89_sft >= 0.0029|slope10_rsi_144_sft <= 0.,SHORT,SINTETICA_REVERSE,62,0.008217533413847006,1.9553840886349896,10.52355341404338,True,82.3,9.205164122281576e-05
XAUUSD,H4,slope10_rsi_144_sft <= 0.2088|slope10_natr_89_sft >= -0,SHORT,SINTETICA_REVERSE,62,0.008217533413847006,1.9553840886349896,10.52355341404338,True,82.3,9.205164122281576e-05
XAUUSD,H4,slope10_rsi_144_sft <= 0.2088|tsrank50_adx_34_sft <= em,SHORT,SINTETICA_REVERSE,62,0.008217533413847006,1.9553840886349896,10.52355341404338,True,82.3,9.205164122281576e-05
XAUUSD,H4,distmax20_adx_48_sft <= ema_21_sft|slope10_natr_89_sft ,SHORT,SINTETICA_REVERSE,62,0.008217533413847006,1.9553840886349896,10.52355341404338,True,82.3,9.205164122281576e-05
XAUUSD,H4,rsi_13_sft <= ema_8_sft|rsi_13_sft <= 60.4286|slope10_n,SHORT,SINTETICA_REVERSE,55,-0.03452644122176723,0.8807318512012285,5.946769252735508,True,68.9,9.000717411228616e-05
XAUUSD,H4,slope10_natr_89_sft >= 0.0029|rsi_13_sft <= 60.4286|slo,SHORT,SINTETICA_REVERSE,55,-0.03452644122176723,0.8807318512012285,5.946769252735508,True,68.9,9.000717411228616e-05
XAUUSD,H4,slope10_natr_89_sft >= 0.0029|slope10_rsi_144_sft <= 0.,SHORT,SINTETICA_REVERSE,55,-0.036078300836427296,0.9109030442612159,6.060313412083876,True,68.4,8.772154279290537e-05
XAUUSD,H4,slope10_rsi_144_sft <= 0.2761|slope10_natr_89_sft >= 0.,SHORT,SINTETICA_REVERSE,63,-0.03780019236953125,1.8544406516082232,10.329049054275709,True,65.3,3.750005018719572e-05
XAUUSD,H4,slope10_natr_89_sft >= 0.0029|ema_5_sft <= ema_34_sft,SHORT,SINTETICA_REVERSE,48,-0.16606371838652734,0.30844351165535017,6.776933353591788,True,18.5,1.0148423863563448e-05
EURGBP,H4,Close_sft >= ema_200_sft|slope10_natr_24_sft >= 0.0012|,SHORT,Ret_24,20,0.32596524040813657,-0.09230226941463052,3.3811736010370623,True,98.1,0.5989088166973663
EURGBP,H4,slope3_rsi_55_sft >= 0.4696|distmax50_adx_120_sft <= -1,SHORT,Ret_24,49,0.3008310992047693,-0.0233676633264657,3.862880880388202,True,99.5,0.5924968009873721
EURGBP,H4,distmax50_adx_8_sft >= -18.4158|distmax50_adx_120_sft <,SHORT,Ret_24,38,0.2892134412678548,-0.41850221085501405,2.8423919537524673,True,96.7,0.5524560649142949
EURGBP,H4,slope3_cci_48_sft >= ema_144_sft|slope3_cci_13_sft <= e,SHORT,Ret_24,45,0.20584031299364924,-0.012165435819773023,3.834472894221825,True,96.2,0.34758048907661787
EURGBP,H4,distmax20_natr_13_sft >= -0.0547|Close_sft <= 0.8425|Cl,LONG,Ret_24,72,0.19510710483400584,0.920370067607696,4.569370050713506,True,98.2,0.2594458057725115
EURGBP,H4,slope5_rsi_144_sft <= ema_120_sft|slope3_cci_13_sft <= ,LONG,Ret_24,68,0.16414245584889278,0.963084408632191,4.462767785088146,True,96.4,0.18535014581221276
EURGBP,H4,tsrank50_adx_144_sft >= 0.0|Close_sft <= 0.8425|slope3_,LONG,Ret_24,68,0.16414245584889278,0.963084408632191,4.462767785088146,True,96.4,0.18535014581221276
EURGBP,H4,slope3_cci_13_sft <= ema_200_sft|Close_sft <= 0.9017|Cl,LONG,Ret_24,68,0.16414245584889278,0.963084408632191,4.462767785088146,True,96.4,0.18535014581221276
EURGBP,H4,slope3_cci_13_sft <= ema_8_sft|Close_sft <= 0.8425,LONG,Ret_24,68,0.16414245584889278,0.963084408632191,4.462767785088146,True,96.4,0.18535014581221276
EURGBP,H4,slope3_cci_13_sft <= ema_200_sft|distmax50_adx_8_sft <=,LONG,Ret_24,68,0.16414245584889278,0.963084408632191,4.462767785088146,True,96.4,0.18535014581221276
EURGBP,H4,Close_sft <= 0.8425|distmax100_cci_5_sft <= ema_5_sft|s,LONG,Ret_24,68,0.16414245584889278,0.963084408632191,4.462767785088146,True,96.4,0.18535014581221276
EURGBP,H4,slope3_cci_13_sft <= ema_200_sft|Close_sft <= 0.8425|di,LONG,Ret_24,68,0.16414245584889278,0.963084408632191,4.462767785088146,True,96.4,0.18535014581221276
EURGBP,H4,Close_sft <= 0.8425|slope3_cci_13_sft <= ema_200_sft|di,LONG,Ret_24,68,0.16214252225587597,0.9692182350821433,4.471100470365127,True,96.2,0.1807425144703092
EURGBP,H4,slope3_cci_13_sft <= ema_200_sft|slope10_cci_8_sft <= 2,LONG,Ret_24,68,0.15938831855021374,0.8814687713359388,4.120668738751498,True,96.3,0.17632437541199347
EURGBP,H4,slope3_cci_13_sft <= ema_200_sft|Close_sft <= 0.8425|sl,LONG,Ret_24,68,0.13874890851292832,0.9616406555065399,4.500988336551273,True,93.6,0.13413672747787353
EURGBP,H4,slope3_cci_13_sft <= ema_200_sft|delta10_adx_200_sft <=,LONG,Ret_72,55,0.08484255898021764,0.8945711863187211,3.4111833707563246,True,78.5,0.0837043909722544
