exit,pf_is,pf_oos,mk_is,mk_oos
Ret_72,1.4516,1.0606,99.8,3.5000000000000004
Ret_96,1.4226,1.7757,98.1,36.8
Ret_96,1.4093,0.982,98.5,0.8999999999999999
Ret_96,1.367,1.8255,97.5,36.9
Ret_96,1.5388,1.2319,99.7,8.200000000000001
Ret_96,1.3662,1.3824,97.2,17.2
Ret_96,1.4093,0.982,98.5,0.8999999999999999
Ret_96,1.3626,1.5312,98.2,29.099999999999998
Ret_96,1.3794,1.6579,98.5,39.900000000000006
Ret_96,1.4219,1.287,97.0,8.4
Ret_96,1.3822,1.3192,96.0,17.7
Ret_96,1.4046,1.3478,97.8,11.5
Ret_96,1.3641,1.6953,96.0,33.300000000000004
Ret_72,1.3698,1.2874,99.4,24.2
Ret_96,1.4116,1.5772,98.4,26.900000000000002
Ret_72,1.4533,1.5208,98.7,35.4
Ret_96,1.4542,2.0087,98.4,43.4
Ret_96,1.4382,1.0724,98.1,1.3
Ret_72,1.3945,1.3253,99.5,30.0
Ret_96,1.4358,1.4872,99.4,20.7
Ret_72,1.4657,1.1348,99.6,6.0
Ret_72,1.4718,1.2725,98.7,21.9
Ret_96,1.415,1.3565,98.7,14.299999999999999
Ret_96,1.4848,1.2527,98.8,9.9
Ret_72,1.3924,1.3365,99.0,19.400000000000002
Ret_96,1.4687,1.2769,97.8,13.700000000000001
Ret_72,1.4355,1.484,99.9,33.2
Ret_72,1.4275,1.497,98.2,38.1
Ret_96,1.3923,1.1984,98.7,8.7
Ret_96,1.3929,1.271,99.0,12.6
Ret_96,1.3936,1.3434,98.4,18.4
Ret_96,1.3855,0.9939,96.2,1.3
Ret_96,1.4058,1.2213,98.1,6.6000000000000005
Ret_72,1.4164,2.0196,96.7,66.5
Ret_72,1.4272,1.0559,99.5,3.4000000000000004
Ret_72,1.3909,1.5281,99.5,37.5
Ret_96,1.3746,1.8349,97.39999999999999,40.8
Ret_72,1.483,1.8537,98.7,59.4
Ret_72,1.3622,1.7068,97.2,46.800000000000004
Ret_96,1.4012,1.1487,97.89999999999999,6.2
Ret_72,1.4524,1.2244,98.4,11.200000000000001
Ret_96,1.4191,1.5272,98.3,22.5
Ret_96,1.4358,1.4872,99.4,20.7
Ret_96,1.391,1.5422,98.4,40.1
Ret_72,1.4781,2.3232,98.8,72.7
Ret_96,1.5116,1.5591,99.0,31.0
Ret_96,1.4138,1.3796,99.7,17.1
Ret_96,1.3663,2.0403,95.39999999999999,55.7
Ret_96,1.4191,1.2538,98.1,10.7
Ret_72,1.4034,1.3967,98.7,29.7
Ret_96,1.4959,1.6026,99.4,31.8
Ret_96,1.3975,1.2725,99.8,8.3
Ret_96,1.3756,0.9452,95.5,0.7000000000000001
Ret_72,1.3976,1.4143,98.9,28.799999999999997
