rule,side,exit,n_is,n_oos,pf_is,pf_oos
rsi_120_sft >= 47.303051|cmo_24_sft >= 9.95,LONG,Ret_96,315,210,1.3204,1.5338
mfi_200_sft <= 54.207512|force_8_sft >= Close_sft,LONG,Ret_96,346,217,1.2683,1.4055
mom_89_sft >= 1.4|force_89_sft >= -1.47,LONG,Ret_96,290,197,1.3236,1.7395
mfi_120_sft <= 50.774323|cmo_120_sft >= -0.89,LONG,Ret_96,208,136,1.4625,1.8706
mfi_144_sft >= -7.04|force_13_sft >= -3.96|roc_89_sft >= 0.092346,LONG,Ret_96,314,208,1.2525,1.5102
rsi_34_sft <= Close_sft|roc_89_sft >= 0.092346|force_13_sft >= 2.7,LONG,Ret_96,314,208,1.2525,1.5102
force_21_sft >= 9212.429688|roc_89_sft >= 0.092346,LONG,Ret_96,305,202,1.2812,1.5723
cmo_200_sft >= -8.760222|force_34_sft >= 5934.621094,LONG,Ret_96,366,239,1.2533,1.4492
roc_89_sft <= 2.150699|force_24_sft >= -4.29|cmo_200_sft >= -8.760222,LONG,Ret_96,358,228,1.3173,1.4326
mfi_5_sft >= 50.859138|force_8_sft >= 3517347.45,LONG,Ret_96,292,216,1.269,1.4382
force_21_sft <= 980778.65625|force_34_sft >= Close_sft,LONG,Ret_96,354,210,1.2827,1.5149
force_34_sft >= Close_sft|rsi_34_sft >= 39.610432|force_21_sft <= 980778.65625,LONG,Ret_96,354,210,1.2827,1.5149
cmo_24_sft >= 6.94,LONG,Ret_96,348,220,1.2779,1.4666
force_5_sft >= -3968618.75|force_13_sft <= 1072989.0|force_34_sft >= Close_sft,LONG,Ret_96,348,202,1.2852,1.5829
cmo_120_sft <= 7.034594|force_48_sft >= -798731.84375|force_8_sft <= 1168048.875,LONG,Ret_96,340,189,1.2755,1.6049
cmo_21_sft >= 9.39|rsi_34_sft >= 44.767157,LONG,Ret_96,344,219,1.2987,1.4551
cmo_200_sft >= -8.760222|force_34_sft >= -7.48,LONG,Ret_96,366,239,1.2525,1.4497
mom_34_sft <= 9.7|force_34_sft >= Close_sft,LONG,Ret_96,361,212,1.2502,1.6532
roc_48_sft >= -0.651132|roc_48_sft >= -1.387169|mom_34_sft >= 6.43,LONG,Ret_96,322,226,1.3246,1.4148
roc_89_sft >= 0.092346|force_21_sft >= Close_sft,LONG,Ret_96,305,202,1.2797,1.5723
rsi_200_sft >= 45.619888|force_34_sft >= 5.16,LONG,Ret_96,366,239,1.2525,1.4497
cmo_21_sft >= 9.38,LONG,Ret_96,344,219,1.2987,1.4551
cmo_21_sft >= 9.4,LONG,Ret_96,344,219,1.2987,1.4551
force_24_sft >= 2.53|mom_89_sft >= 1.27,LONG,Ret_96,303,202,1.271,1.6888
force_34_sft >= -2.68|roc_89_sft >= 0.092346|force_55_sft >= -765378.0,LONG,Ret_96,301,200,1.2814,1.6318
rsi_200_sft >= 45.619888|force_34_sft >= 6.51,LONG,Ret_96,366,239,1.2525,1.4497
cmo_144_sft >= -4.860069|mfi_21_sft >= 60.614326|mfi_89_sft <= 59.931632,LONG,Ret_72,355,239,1.3348,1.473
force_48_sft >= 4.84|roc_21_sft <= 0.954321,LONG,Ret_96,361,229,1.2542,1.6482
cmo_34_sft >= -10.465685|mfi_120_sft <= 50.774323,LONG,Ret_96,279,177,1.349,1.5212
roc_89_sft >= 0.092346|force_24_sft >= Close_sft|mfi_34_sft <= Close_sft,LONG,Ret_96,302,202,1.2737,1.5932
mfi_120_sft <= 55.01005|mfi_13_sft >= 63.271347,LONG,Ret_96,309,184,1.288,1.8834
roc_24_sft >= -0.949891|force_55_sft >= Close_sft|roc_89_sft >= 0.092346,LONG,Ret_96,296,199,1.3026,1.6196
rsi_5_sft >= 36.209591|rsi_48_sft >= 55.387239|roc_48_sft <= 0.772961,LONG,Ret_72,210,141,1.5349,1.8416
roc_89_sft >= 0.092346|force_48_sft >= 2.19,LONG,Ret_96,296,199,1.2909,1.7075
force_21_sft >= Close_sft|force_120_sft >= -1535445.75|rsi_48_sft >= 41.254455,LONG,Ret_96,380,241,1.2636,1.4739
roc_8_sft <= 0.007914|force_8_sft >= 9.63,LONG,Ret_96,369,229,1.2722,1.4653
mfi_120_sft <= 55.01005|roc_89_sft >= 0.092346|cmo_24_sft >= -12.308913,LONG,Ret_96,277,174,1.2924,1.5913
force_55_sft >= -765378.0|rsi_8_sft >= 61.997915,LONG,Ret_96,354,231,1.2963,1.4027
force_48_sft >= 4972.991211|roc_89_sft >= 0.092346,LONG,Ret_96,296,199,1.2909,1.7075
mom_21_sft <= 6.417|force_48_sft >= Close_sft,LONG,Ret_96,344,199,1.3071,1.4002
mom_34_sft >= 5.57|mfi_144_sft <= 54.681004,LONG,Ret_96,284,185,1.3368,1.487
rsi_34_sft >= 44.767157|mfi_120_sft <= 50.774323|rsi_200_sft <= 55.043404,LONG,Ret_96,278,173,1.3582,1.5149
force_34_sft >= 1.92|mom_89_sft >= 1.27,LONG,Ret_96,301,201,1.2746,1.6908
mfi_89_sft <= 59.931632|roc_34_sft >= -1.148594|rsi_5_sft >= 77.301424,LONG,Ret_96,316,198,1.2905,1.7056
mom_55_sft <= Close_sft|mom_89_sft >= 1.27|force_34_sft >= -3.85,LONG,Ret_96,301,201,1.2746,1.6908
force_34_sft >= Close_sft|mom_89_sft >= 1.27,LONG,Ret_96,301,201,1.2739,1.6908
mom_89_sft >= 1.27|force_21_sft >= 9212.429688,LONG,Ret_96,305,204,1.2714,1.5841
mfi_89_sft <= 59.931632|rsi_89_sft >= 43.480112|force_24_sft >= Close_sft,LONG,Ret_96,370,235,1.2819,1.4066
force_55_sft >= -765378.0|cmo_8_sft >= 23.995831,LONG,Ret_96,354,231,1.2963,1.4027
mom_89_sft >= 1.27|roc_8_sft >= -9.37|force_21_sft >= 9212.429688,LONG,Ret_96,305,204,1.2714,1.5841
mom_89_sft >= 1.27|mfi_120_sft <= 50.774323,LONG,Ret_72,239,153,1.3814,1.7706
force_34_sft >= 4.24|mom_89_sft >= 1.27,LONG,Ret_96,301,201,1.2746,1.6908
force_55_sft >= -765378.0|cmo_5_sft <= -6.56|cmo_21_sft <= Close_sft,LONG,Ret_96,368,221,1.2815,1.4784
mfi_8_sft >= 66.559189|force_8_sft >= 3517347.45|cmo_8_sft >= 5.6,LONG,Ret_96,265,199,1.3015,1.4429
cmo_48_sft >= -6.02|mom_120_sft <= 17.629001,LONG,Ret_96,339,186,1.2593,1.4279
rsi_120_sft >= 47.303051|rsi_5_sft >= 77.301424,LONG,Ret_96,304,206,1.3036,1.5696
roc_89_sft >= 0.092346|roc_8_sft <= 0.251397|force_55_sft >= -765378.0,LONG,Ret_96,310,193,1.2636,1.4666
cmo_120_sft >= -5.393899|rsi_5_sft >= 77.301424,LONG,Ret_96,304,206,1.3036,1.5696
mom_34_sft >= 0.497|force_8_sft >= 3517347.45,LONG,Ret_96,260,201,1.3134,1.4998
roc_89_sft <= 2.13|force_89_sft >= -3.49,LONG,Ret_96,326,198,1.3173,1.7462
roc_13_sft >= -0.675512|force_48_sft >= 4972.991211|mom_89_sft >= 1.27,LONG,Ret_96,296,201,1.2861,1.6647
rsi_120_sft >= 8.18|force_48_sft >= Close_sft|mom_89_sft <= 29.907,LONG,Ret_96,352,199,1.3004,1.4991
mom_89_sft >= 5.03|force_34_sft >= 7.67,LONG,Ret_72,364,239,1.2586,1.5813
mom_89_sft >= 1.27|force_24_sft >= Close_sft,LONG,Ret_96,302,202,1.264,1.6883
roc_89_sft >= 0.092346|mfi_120_sft <= 55.01005|rsi_5_sft >= 24.164919,LONG,Ret_96,286,178,1.2964,1.468
mom_89_sft >= 1.27|force_24_sft >= Close_sft|roc_120_sft <= 2.482338,LONG,Ret_96,283,178,1.3509,2.0324
