rule,side,exit,n_is,n_oos,pf_is,pf_oos
minus_di_144_sft <= 19.549842|macdh_144_sft >= -0.185443,LONG,Ret_72,221,159,1.2896,1.4432
trix_89_sft >= 0.00102|plus_di_13_sft >= 19.937256,LONG,Ret_96,232,158,1.2542,1.586
trix_8_sft >= -1.01|adx_200_sft >= 10.138517,LONG,Ret_48,228,137,1.3301,1.841
minus_di_120_sft <= 19.36696|efficiency_5_sft <= 0.42897,LONG,Ret_72,216,162,1.3017,1.6
plus_di_24_sft >= 24.478443|linreg_200_sft >= -0.202539,LONG,Ret_96,280,176,1.2908,1.4918
slope_48_sft <= 0.091265|slope_21_sft >= 0.125629,LONG,Ret_72,232,177,1.2794,1.3754
efficiency_13_sft <= 0.589173|adx_200_sft >= 8.55,LONG,Ret_72,243,137,1.2702,1.3718
plus_di_21_sft >= 24.672607|ema_144_sft >= ema_144_sft|linreg_34_sft >= -0.231489,LONG,Ret_96,304,200,1.2686,1.6423
macdh_13_sft >= -0.81973|minus_di_21_sft >= 29.617799,LONG,Ret_72,241,99,1.2644,1.1359
slope_24_sft >= -9.51|plus_di_24_sft >= 24.478443|plus_di_120_sft >= 1.99,LONG,Ret_96,298,198,1.2893,1.6348
macdh_21_sft >= 0.36775|aroon_13_sft <= 53.846153,LONG,Ret_96,301,225,1.3322,1.2313
efficiency_21_sft >= 0.484428|plus_di_8_sft >= 8.877579|linreg_55_sft >= 0.011679,LONG,Ret_72,222,160,1.2502,1.3206
macdh_55_sft >= -6.78|linreg_13_sft >= -0.779809|minus_di_120_sft <= 19.36696,LONG,Ret_72,232,171,1.3562,1.5864
slope_120_sft >= 0.002734|trix_120_sft <= 0.006981,LONG,Ret_96,243,132,1.2651,1.4698
linreg_89_sft <= 0.374144|plus_di_24_sft >= 20.302818|slope_13_sft >= -0.063572,LONG,Ret_96,359,210,1.2983,1.5012
efficiency_8_sft <= 0.543346|minus_di_55_sft <= 18.373706|trix_21_sft <= ema_13_sft,LONG,Ret_72,282,187,1.3011,1.5751
adx_144_sft >= 8.674729|adx_144_sft <= ema_24_sft,LONG,Ret_96,250,151,1.2598,1.5251
slope_34_sft >= 0.049592|macdh_24_sft <= 0.356385|macdh_34_sft >= -7.6,LONG,Ret_72,260,168,1.3214,1.1687
adx_200_sft >= 7.34|linreg_34_sft >= 0.016606,LONG,Ret_96,217,131,1.3868,1.3043
slope_8_sft >= 0.083389|efficiency_13_sft >= 0.589173,LONG,Ret_96,236,170,1.2769,1.3785
minus_di_120_sft <= 19.36696|slope_200_sft <= ema_200_sft|ema_21_sft <= 1821.49585,LONG,Ret_72,213,31,1.4197,1.6556
adx_200_sft >= 10.138517|plus_di_21_sft <= ema_21_sft,LONG,Ret_48,228,137,1.3301,1.841
slope_120_sft >= 0.002734|ema_34_sft >= -0.51|ema_13_sft <= 1651.514709,LONG,Ret_96,242,3,1.2565,61526649.2088
adx_200_sft >= 7.534551|adx_5_sft <= 39.487061,LONG,Ret_96,222,127,1.2718,1.351
efficiency_34_sft >= 0.077306|minus_di_144_sft <= 19.549842,LONG,Ret_72,222,167,1.2635,1.4643
plus_di_89_sft <= ema_89_sft|minus_di_120_sft <= 19.36696,LONG,Ret_72,233,173,1.3622,1.57
plus_di_21_sft >= 24.672607|plus_di_48_sft >= 20.502817,LONG,Ret_96,297,205,1.282,1.5415
slope_55_sft >= 0.0022|macdh_21_sft <= 0.36775,LONG,Ret_96,325,198,1.2763,1.6269
efficiency_200_sft <= 0.120431|linreg_89_sft <= 0.180637|linreg_48_sft >= 0.23,LONG,Ret_48,226,169,1.2555,1.5141
aroon_8_sft >= -50.0|aroon_21_sft <= -80.952377|slope_144_sft <= 0.002821,LONG,Ret_96,207,111,1.2884,0.8994
plus_di_21_sft >= 24.672607|minus_di_48_sft <= Close_sft,LONG,Ret_96,306,207,1.2658,1.5851
minus_di_89_sft <= 19.024384|slope_120_sft <= 0.060953,LONG,Ret_72,238,141,1.322,1.8599
efficiency_13_sft >= 0.589173|slope_34_sft >= 0.002637,LONG,Ret_96,243,173,1.3714,1.6157
minus_di_24_sft <= 16.763711|slope_34_sft <= 0.049592|linreg_24_sft <= 2.22,LONG,Ret_96,225,129,1.2543,1.5535
macdh_13_sft <= -0.387447|minus_di_21_sft <= 20.699945,LONG,Ret_72,267,225,1.3354,1.2739
efficiency_8_sft <= ema_144_sft|adx_200_sft >= 10.138517,LONG,Ret_48,228,137,1.3301,1.841
adx_8_sft <= 18.754478|ema_120_sft <= ema_5_sft,LONG,Ret_72,203,142,1.2869,1.5779
ema_144_sft >= -8.64|ema_24_sft <= 1821.353101|linreg_89_sft <= 0.007437,LONG,Ret_96,286,33,1.2724,1.4011
adx_144_sft >= 8.674729|minus_di_55_sft <= 26.68474|linreg_13_sft <= ema_48_sft,LONG,Ret_96,242,148,1.2719,1.5138
linreg_200_sft >= 0.019063|minus_di_120_sft >= 1.75|linreg_48_sft >= 0.013999,LONG,Ret_96,228,154,1.2828,1.494
slope_200_sft <= ema_200_sft|aroon_34_sft >= 79.411766,LONG,Ret_96,246,161,1.253,1.4144
linreg_48_sft >= 0.232999|aroon_5_sft >= 100.0|efficiency_55_sft >= -8.23,LONG,Ret_72,218,202,1.3301,1.2228
plus_di_21_sft >= 20.270658|efficiency_48_sft <= 0.065908,LONG,Ret_96,295,193,1.2856,1.3751
aroon_34_sft >= 79.411766|linreg_48_sft <= ema_55_sft,LONG,Ret_96,246,161,1.253,1.4144
minus_di_200_sft <= 22.809317|efficiency_21_sft <= 0.039904,LONG,Ret_96,296,196,1.2679,1.5333
linreg_8_sft <= ema_55_sft|adx_200_sft >= 10.138517,LONG,Ret_48,228,137,1.3301,1.841
minus_di_200_sft <= 19.846724|minus_di_13_sft <= 25.958656,LONG,Ret_72,209,169,1.2682,1.3294
plus_di_34_sft >= 16.980412|plus_di_24_sft >= 24.478443,LONG,Ret_96,298,198,1.2893,1.6348
trix_48_sft >= 0.000938|minus_di_120_sft <= 19.36696,LONG,Ret_72,217,153,1.4421,1.6552
adx_8_sft <= Close_sft|ema_48_sft <= ema_13_sft|minus_di_200_sft <= 19.846724,LONG,Ret_72,200,160,1.2933,1.4405
minus_di_200_sft >= -6.88|macdh_13_sft <= -0.00398|plus_di_21_sft >= 24.672607,LONG,Ret_72,257,167,1.287,1.4477
plus_di_21_sft >= 24.672607|aroon_89_sft >= -77.528091,LONG,Ret_96,298,205,1.327,1.516
efficiency_13_sft >= -0.87|adx_200_sft >= 10.138517,LONG,Ret_48,228,137,1.3301,1.841
trix_13_sft <= 0.017071|slope_24_sft <= 0.056331|plus_di_34_sft >= 24.021143,LONG,Ret_72,202,111,1.3592,1.6075
aroon_48_sft >= 56.25|linreg_89_sft <= 0.374144,LONG,Ret_72,306,171,1.3533,1.5264
efficiency_13_sft <= 0.433265|plus_di_21_sft >= 20.270658|trix_48_sft >= 0.000938,LONG,Ret_96,241,167,1.3521,1.5703
linreg_200_sft >= -7.09|aroon_34_sft >= 79.411766|plus_di_8_sft <= ema_21_sft,LONG,Ret_96,246,161,1.253,1.4144
slope_21_sft >= 0.002737|minus_di_144_sft <= 21.195539|macdh_120_sft <= 0.210833,LONG,Ret_96,221,135,1.2612,1.8111
trix_24_sft <= 0.013661|minus_di_48_sft <= 18.148701,LONG,Ret_72,227,144,1.3025,1.3223
macdh_48_sft >= -0.280099|efficiency_8_sft >= 0.543346|adx_48_sft <= 14.516132,LONG,Ret_96,243,167,1.2598,1.2946
ema_200_sft <= ema_5_sft|ema_21_sft <= 1650.788635,LONG,Ret_96,231,3,1.2821,57069014.2654
ema_48_sft >= ema_8_sft|plus_di_34_sft >= 20.409904,LONG,Ret_96,235,140,1.2789,1.381
plus_di_13_sft >= 1.45|aroon_48_sft <= -50.0|adx_8_sft <= 23.855003,LONG,Ret_72,203,128,1.2948,1.9656
macdh_5_sft <= ema_13_sft|plus_di_21_sft >= 24.672607,LONG,Ret_96,306,207,1.2658,1.5851
minus_di_5_sft <= Close_sft|adx_144_sft >= 8.674729,LONG,Ret_96,250,151,1.2598,1.5251
minus_di_120_sft >= 17.654225|minus_di_8_sft <= 9.068035,LONG,Ret_96,250,165,1.3024,1.4263
ema_144_sft >= 8.71|minus_di_48_sft <= 18.148701|trix_8_sft <= 0.020827,LONG,Ret_96,202,128,1.3634,1.6099
slope_55_sft >= 0.0022|minus_di_5_sft <= 9.57|aroon_55_sft <= -2.52,LONG,Ret_96,234,138,1.3094,1.2794
minus_di_200_sft <= 19.846724|macdh_144_sft <= ema_34_sft,LONG,Ret_72,211,169,1.2897,1.357
linreg_55_sft >= 0.222012|linreg_144_sft <= 0.288994,LONG,Ret_72,239,160,1.4109,1.4192
trix_8_sft <= ema_13_sft|minus_di_200_sft <= 19.846724,LONG,Ret_72,211,169,1.2897,1.357
efficiency_200_sft >= 0.120431|slope_8_sft <= 0.002395,LONG,Ret_72,225,152,1.3551,1.5638
adx_200_sft <= 13.012462|aroon_34_sft >= 79.411766,LONG,Ret_96,228,149,1.2682,1.3869
minus_di_120_sft <= 19.36696|linreg_21_sft <= ema_21_sft,LONG,Ret_72,233,173,1.3622,1.57
linreg_144_sft <= 0.147297|linreg_48_sft <= ema_48_sft|linreg_5_sft >= 0.57255,LONG,Ret_96,335,182,1.2647,1.4046
aroon_200_sft <= 57.0|trix_55_sft >= 0.00109,LONG,Ret_48,327,183,1.2679,1.6179
minus_di_13_sft <= 11.24466|adx_89_sft >= 6.82,LONG,Ret_72,255,179,1.2737,1.2676
plus_di_24_sft >= 24.478443|aroon_8_sft <= ema_144_sft,LONG,Ret_96,298,198,1.2893,1.6348
plus_di_24_sft >= 24.478443|minus_di_200_sft <= ema_34_sft,LONG,Ret_96,298,198,1.2893,1.6348
efficiency_13_sft >= 0.589173|minus_di_34_sft <= ema_55_sft|aroon_8_sft >= 0.0,LONG,Ret_96,256,180,1.4879,1.3871
trix_24_sft >= 0.000709|minus_di_24_sft <= 16.763711|macdh_89_sft >= -0.466755,LONG,Ret_72,316,213,1.2503,1.2656
plus_di_24_sft >= 24.478443|linreg_144_sft >= 0.017682,LONG,Ret_96,208,139,1.3445,1.9578
adx_200_sft >= 10.138517|adx_48_sft >= 8.392473,LONG,Ret_48,221,134,1.2878,1.7767
aroon_120_sft <= 6.0|plus_di_5_sft <= 5.5,LONG,Ret_96,203,114,1.3963,1.2472
aroon_24_sft >= 83.333336|trix_21_sft >= 0.014494,LONG,Ret_48,216,185,1.3771,1.2482
plus_di_48_sft >= 20.502817|adx_48_sft >= 8.392473,LONG,Ret_96,320,214,1.3351,1.593
efficiency_8_sft <= 0.543346|plus_di_8_sft >= 33.824101|aroon_144_sft <= ema_89_sft,LONG,Ret_96,258,169,1.2889,1.4721
trix_89_sft >= 0.00102|aroon_24_sft <= ema_89_sft|ema_8_sft >= ema_24_sft,LONG,Ret_96,222,153,1.267,1.4485
aroon_34_sft <= ema_5_sft|aroon_34_sft >= 79.411766|macdh_55_sft >= -0.263827,LONG,Ret_96,245,159,1.2585,1.4125
macdh_144_sft >= 0.198633|macdh_13_sft <= 0.396837,LONG,Ret_96,206,159,1.2623,1.6249
macdh_48_sft >= 0.282632|plus_di_8_sft >= 33.824101,LONG,Ret_96,237,179,1.2908,1.5364
minus_di_5_sft <= 6.560701|slope_200_sft <= 0.024596,LONG,Ret_96,249,128,1.2941,1.5109
trix_24_sft <= 0.000709|trix_200_sft <= 0.000442,LONG,Ret_72,217,110,1.275,1.2082
plus_di_5_sft <= 18.701385|plus_di_21_sft >= 20.270658,LONG,Ret_96,308,203,1.2569,1.3316
aroon_144_sft <= ema_8_sft|minus_di_120_sft <= 19.36696|aroon_5_sft <= 100.0,LONG,Ret_72,233,173,1.3622,1.57
aroon_48_sft >= 56.25|aroon_13_sft >= 84.615387,LONG,Ret_72,227,154,1.2695,2.006
trix_13_sft <= ema_8_sft|plus_di_200_sft >= 17.951158|slope_21_sft >= 0.125629,LONG,Ret_96,239,183,1.2761,1.3586
adx_5_sft >= 64.602853|minus_di_200_sft <= 22.809317,LONG,Ret_72,289,197,1.2646,1.3056
macdh_8_sft <= -0.002172|minus_di_5_sft >= -3.02|adx_144_sft >= 8.674729,LONG,Ret_96,233,138,1.2673,1.4286
minus_di_120_sft <= 19.36696|minus_di_21_sft <= 25.169423|efficiency_48_sft <= 8.91,LONG,Ret_72,232,173,1.3553,1.57
adx_48_sft >= 14.516132|minus_di_120_sft <= 23.144876|slope_8_sft <= ema_89_sft,LONG,Ret_96,245,156,1.2569,1.3676
adx_144_sft >= 8.674729|slope_144_sft <= ema_89_sft|linreg_5_sft <= ema_48_sft,LONG,Ret_96,250,151,1.2598,1.5251
slope_120_sft >= -0.052634|plus_di_21_sft >= 24.672607|linreg_34_sft <= ema_48_sft,LONG,Ret_96,304,206,1.2777,1.5723
linreg_89_sft <= ema_34_sft|aroon_34_sft >= 79.411766,LONG,Ret_96,246,161,1.253,1.4144
minus_di_5_sft <= 6.560701|linreg_5_sft <= 0.57255,LONG,Ret_96,237,132,1.3012,1.3102
efficiency_21_sft >= 0.484428|aroon_89_sft >= 2.247191|efficiency_55_sft >= 0.024776,LONG,Ret_72,225,147,1.2531,1.3471
efficiency_144_sft <= ema_13_sft|plus_di_21_sft >= 24.672607,LONG,Ret_96,306,207,1.2658,1.5851
adx_8_sft <= 18.754478|minus_di_24_sft <= 20.769451,LONG,Ret_72,260,185,1.3171,1.4892
plus_di_24_sft >= 24.478443|slope_144_sft <= ema_13_sft,LONG,Ret_96,298,198,1.2893,1.6348
ema_13_sft <= 1821.289453|trix_24_sft <= 0.000709|aroon_8_sft >= 62.5,LONG,Ret_96,271,31,1.2503,1.8186
macdh_34_sft >= -0.67821|adx_48_sft <= 14.516132|ema_8_sft <= 1651.191833,LONG,Ret_96,209,5,1.3206,5.25
efficiency_5_sft >= 0.685103|trix_55_sft <= 0.00109|efficiency_34_sft >= 0.167678,LONG,Ret_96,235,142,1.302,1.3522
plus_di_21_sft >= 24.672607|trix_21_sft >= -0.026271|linreg_5_sft >= -1.229,LONG,Ret_96,303,206,1.2807,1.5783
trix_55_sft >= 0.00109|ema_5_sft <= 1821.612354,LONG,Ret_72,304,31,1.2865,1.6891
linreg_89_sft <= 0.374144|slope_24_sft >= 0.119522,LONG,Ret_96,224,156,1.2843,1.5104
plus_di_34_sft >= 14.262314|adx_200_sft >= 10.138517,LONG,Ret_48,224,135,1.2814,1.7743
adx_55_sft >= 13.603822|minus_di_120_sft <= 23.144876,LONG,Ret_96,230,148,1.3118,1.377
plus_di_24_sft <= ema_13_sft|minus_di_13_sft <= 15.19733|linreg_21_sft <= 0.015578,LONG,Ret_72,209,119,1.2639,1.7269
aroon_55_sft >= 5.454545|trix_21_sft <= ema_48_sft|adx_21_sft >= 21.016172,LONG,Ret_72,280,188,1.2939,1.4095
minus_di_34_sft <= 17.529027|minus_di_120_sft <= 19.36696,LONG,Ret_72,208,155,1.3114,1.4679
slope_120_sft <= 0.060953|plus_di_8_sft >= 33.824101|linreg_5_sft <= 1.30268,LONG,Ret_96,232,98,1.2934,1.6513
adx_13_sft >= 4.4|linreg_5_sft <= 0.57255|adx_200_sft >= 10.138517,LONG,Ret_48,225,131,1.2517,1.8484
efficiency_55_sft >= 0.133579|aroon_24_sft >= 83.333336,LONG,Ret_96,213,150,1.2604,1.9209
slope_5_sft >= 0.095965|adx_8_sft >= 42.556431,LONG,Ret_96,267,175,1.2757,1.6455
minus_di_120_sft <= 19.36696|plus_di_34_sft <= ema_5_sft,LONG,Ret_72,233,173,1.3622,1.57
aroon_144_sft >= -79.166664|macdh_48_sft <= 0.601385|minus_di_48_sft <= 18.148701,LONG,Ret_72,282,163,1.2601,1.5363
adx_48_sft <= 19.71399|plus_di_8_sft >= 33.824101|efficiency_21_sft <= 3.11,LONG,Ret_96,253,173,1.3928,1.4997
adx_144_sft >= 8.674729|minus_di_5_sft <= ema_48_sft,LONG,Ret_96,250,151,1.2598,1.5251
plus_di_144_sft <= 22.454097|minus_di_8_sft <= 9.068035,LONG,Ret_96,202,129,1.3194,1.1741
plus_di_34_sft >= 20.409904|adx_24_sft <= 27.124339|aroon_34_sft >= -7.34,LONG,Ret_96,321,205,1.3127,1.4944
plus_di_21_sft >= 24.672607|efficiency_55_sft <= ema_48_sft,LONG,Ret_96,306,207,1.2658,1.5851
minus_di_5_sft <= 36.897367|efficiency_21_sft >= 0.484428,LONG,Ret_72,327,218,1.2502,1.3308
plus_di_48_sft >= 20.502817|slope_24_sft <= 0.119522|trix_48_sft >= 0.000938,LONG,Ret_96,247,164,1.2702,1.7946
ema_13_sft <= 1821.289453|plus_di_8_sft >= 33.824101,LONG,Ret_96,272,32,1.2711,1.8105
linreg_200_sft >= 0.019063|macdh_200_sft <= 0.169522,LONG,Ret_96,212,126,1.2545,1.4313
plus_di_24_sft >= 20.302818|efficiency_21_sft <= 0.099101,LONG,Ret_96,322,206,1.2739,1.9063
adx_34_sft <= 23.154034|plus_di_13_sft >= 25.549025,LONG,Ret_96,303,203,1.2788,1.6187
adx_89_sft >= 6.157318|minus_di_120_sft <= 19.36696,LONG,Ret_72,223,169,1.338,1.479
plus_di_21_sft >= 16.055331|aroon_34_sft >= 79.411766|slope_48_sft >= -0.038021,LONG,Ret_96,245,160,1.2755,1.5649
trix_200_sft <= 0.000442|slope_144_sft <= 0.002821,LONG,Ret_72,244,118,1.3387,1.2297
slope_13_sft >= 0.1502|plus_di_89_sft >= 18.382777,LONG,Ret_96,259,192,1.3133,1.2365
adx_5_sft <= ema_48_sft|adx_200_sft >= 10.138517,LONG,Ret_48,228,137,1.3301,1.841
plus_di_55_sft >= 17.756641|plus_di_24_sft >= 24.478443,LONG,Ret_96,298,198,1.2893,1.6348
efficiency_48_sft >= 0.025721|adx_8_sft >= 31.781301|macdh_144_sft >= 0.198633,LONG,Ret_96,204,159,1.2648,1.7941
adx_200_sft >= 9.58|linreg_24_sft <= 0.305797,LONG,Ret_48,249,138,1.28,1.3733
ema_55_sft <= 1646.929871|efficiency_89_sft <= 0.018904|plus_di_8_sft >= 8.877579,LONG,Ret_72,231,2,1.3801,43914411.9453
plus_di_48_sft >= 20.502817|efficiency_89_sft <= 0.018904,LONG,Ret_96,206,127,1.3536,1.4694
macdh_5_sft <= 4.95|plus_di_21_sft >= 24.672607,LONG,Ret_96,306,204,1.2666,1.7454
linreg_89_sft >= -0.316671|plus_di_24_sft >= 20.302818|minus_di_144_sft >= 21.195539,LONG,Ret_96,210,106,1.2629,1.2591
plus_di_24_sft <= 28.859135|minus_di_24_sft <= 16.763711,LONG,Ret_72,330,227,1.2643,1.13
adx_89_sft >= 6.157318|ema_34_sft >= ema_144_sft,LONG,Ret_96,275,185,1.2664,1.9893
efficiency_89_sft <= 0.049564|aroon_13_sft >= -9.9|macdh_21_sft <= 0.770179,LONG,Ret_72,327,192,1.2539,1.4443
minus_di_48_sft <= 18.148701|slope_21_sft <= 7.06|macdh_8_sft <= -0.002172,LONG,Ret_72,243,167,1.3452,1.462
efficiency_120_sft <= 0.223038|adx_200_sft >= 10.138517,LONG,Ret_48,216,127,1.4149,1.7205
plus_di_21_sft >= 24.672607|trix_48_sft >= -9.47,LONG,Ret_96,306,207,1.2658,1.5851
minus_di_5_sft <= 6.560701|macdh_48_sft >= 0.282632|minus_di_5_sft <= ema_120_sft,LONG,Ret_96,241,181,1.3065,1.4014
minus_di_5_sft <= ema_24_sft|ema_24_sft >= ema_120_sft|aroon_8_sft >= 87.5,LONG,Ret_72,295,205,1.3237,1.7298
linreg_200_sft >= 0.019063|ema_21_sft <= 1821.49585|macdh_21_sft <= 0.36775,LONG,Ret_96,229,21,1.2569,2.0278
efficiency_144_sft <= 5.36|trix_200_sft <= ema_55_sft|aroon_34_sft >= 79.411766,LONG,Ret_96,246,161,1.253,1.4144
ema_200_sft <= ema_5_sft|ema_21_sft <= 1650.788635|trix_89_sft <= ema_24_sft,LONG,Ret_96,231,3,1.2821,57069014.2654
adx_144_sft >= 8.674729|slope_5_sft <= ema_8_sft|plus_di_5_sft <= 36.880132,LONG,Ret_96,250,150,1.2878,1.5599
aroon_5_sft <= ema_120_sft|plus_di_24_sft >= 24.478443,LONG,Ret_96,298,198,1.2893,1.6348
adx_8_sft >= 42.556431|minus_di_55_sft <= 21.074759,LONG,Ret_96,234,154,1.2531,1.9389
plus_di_24_sft >= 24.478443|efficiency_5_sft <= 0.894355,LONG,Ret_96,292,196,1.2634,1.5999
aroon_34_sft >= 79.411766|ema_89_sft <= ema_34_sft,LONG,Ret_48,275,193,1.2706,1.5079
minus_di_144_sft <= 19.549842|adx_8_sft <= 54.081817|macdh_24_sft <= ema_24_sft,LONG,Ret_72,214,162,1.2748,1.5468
ema_8_sft <= 1821.299512|linreg_89_sft <= 0.007437,LONG,Ret_96,287,34,1.2633,1.2787
slope_21_sft >= -0.114631|adx_200_sft >= 10.138517,LONG,Ret_48,225,133,1.2858,1.8427
adx_200_sft >= 7.534551|trix_5_sft <= 0.024925|plus_di_13_sft >= 19.937256,LONG,Ret_72,256,145,1.28,1.2804
adx_144_sft >= 8.674729|macdh_5_sft >= -3.22,LONG,Ret_96,250,150,1.2613,1.6179
minus_di_5_sft <= 6.560701|macdh_13_sft <= 0.396837,LONG,Ret_72,227,99,1.3921,1.8513
plus_di_21_sft >= 24.672607|ema_55_sft <= 1819.651587|efficiency_89_sft <= 5.89,LONG,Ret_96,281,28,1.3984,2.2341
minus_di_200_sft <= 19.846724|plus_di_5_sft <= ema_13_sft,LONG,Ret_72,211,169,1.2897,1.357
linreg_24_sft <= ema_5_sft|plus_di_21_sft >= 24.672607,LONG,Ret_96,306,207,1.2658,1.5851
ema_200_sft <= 1820.673877|trix_34_sft >= 0.000779,LONG,Ret_72,337,33,1.2506,1.8526
slope_55_sft <= 0.08611|minus_di_13_sft <= 11.24466,LONG,Ret_96,217,116,1.371,1.6044
adx_200_sft >= 10.138517|aroon_21_sft <= 80.952377,LONG,Ret_48,228,134,1.3139,1.8028
aroon_144_sft <= -5.68|adx_5_sft <= 29.65864,LONG,Ret_96,226,137,1.2777,1.4003
slope_120_sft >= 0.002734|ema_24_sft <= 1650.49292,LONG,Ret_96,242,3,1.2565,61526649.2088
slope_24_sft >= 0.119522|efficiency_34_sft >= 0.029889|linreg_120_sft <= Close_sft,LONG,Ret_96,228,180,1.2831,1.3485
linreg_55_sft >= 0.222012|adx_120_sft >= -3.86|ema_21_sft <= 1821.49585,LONG,Ret_72,243,29,1.3363,2.3157
plus_di_120_sft <= 20.616291|macdh_5_sft >= 0.872804|linreg_8_sft <= ema_200_sft,LONG,Ret_48,256,227,1.2801,1.0653
minus_di_55_sft <= 21.074759|adx_200_sft >= 7.534551,LONG,Ret_72,221,131,1.4361,1.4488
plus_di_55_sft >= 17.756641|adx_200_sft >= 7.534551,LONG,Ret_96,215,127,1.2555,1.6632
efficiency_5_sft >= 0.894355|slope_5_sft >= -0.196958|plus_di_144_sft >= 22.454097,LONG,Ret_48,221,161,1.2584,1.2683
minus_di_144_sft <= 19.549842|aroon_8_sft >= -50.0|ema_21_sft >= -1.02,LONG,Ret_72,225,169,1.2636,1.3844
minus_di_24_sft >= 9.25|aroon_48_sft >= -50.0|adx_144_sft >= 8.674729,LONG,Ret_96,238,138,1.3154,1.4144
plus_di_24_sft >= 24.478443|efficiency_13_sft <= ema_89_sft,LONG,Ret_96,298,198,1.2893,1.6348
plus_di_48_sft >= 17.550961|efficiency_5_sft <= 0.083704,LONG,Ret_96,351,226,1.2562,1.4452
aroon_48_sft >= 56.25|ema_200_sft <= 1820.673877,LONG,Ret_96,251,21,1.3315,2.1834
linreg_55_sft <= 0.222012|minus_di_34_sft <= 17.529027|adx_120_sft <= 17.005292,LONG,Ret_72,238,120,1.3184,1.3672
ema_48_sft <= 1647.476746|plus_di_144_sft >= 20.597851,LONG,Ret_96,243,3,1.2894,39462129.6283
plus_di_24_sft >= 24.478443|minus_di_200_sft >= -2.25,LONG,Ret_96,298,198,1.2893,1.6348
minus_di_13_sft <= ema_200_sft|plus_di_24_sft >= 24.478443|efficiency_144_sft <= 4.8,LONG,Ret_96,298,198,1.2893,1.6348
efficiency_13_sft <= ema_8_sft|plus_di_24_sft >= 24.478443,LONG,Ret_96,298,198,1.2893,1.6348
efficiency_48_sft >= 0.142178|adx_48_sft >= 14.516132|ema_24_sft <= 1650.49292,LONG,Ret_96,218,2,1.2669,16.8802
minus_di_120_sft <= 19.36696|minus_di_8_sft <= 13.611489,LONG,Ret_72,213,158,1.3145,1.5718
trix_24_sft <= ema_34_sft|aroon_48_sft <= ema_48_sft|plus_di_21_sft >= 24.672607,LONG,Ret_96,306,207,1.2658,1.5851
trix_34_sft >= -8.64|efficiency_8_sft <= 0.725035|minus_di_24_sft >= 29.113644,LONG,Ret_72,248,136,1.2956,0.8168
minus_di_120_sft <= 19.36696|efficiency_21_sft >= 0.039904,LONG,Ret_72,233,168,1.3385,1.6567
adx_144_sft >= 8.674729|plus_di_21_sft <= ema_120_sft,LONG,Ret_96,250,151,1.2598,1.5251
efficiency_55_sft <= 0.024776|trix_5_sft >= -0.022608|minus_di_55_sft <= 21.074759,LONG,Ret_96,204,135,1.2989,1.5746
adx_21_sft <= 28.71629|plus_di_21_sft >= 24.672607,LONG,Ret_96,288,198,1.2891,1.6388
linreg_34_sft >= -0.508917|adx_144_sft >= 8.674729,LONG,Ret_96,246,142,1.2717,1.5386
aroon_13_sft >= 53.846153|efficiency_8_sft >= 0.725035|adx_89_sft >= 6.157318,LONG,Ret_96,244,166,1.4436,1.6512
slope_55_sft >= -6.37|plus_di_21_sft >= 24.672607,LONG,Ret_96,306,207,1.2658,1.5851
minus_di_34_sft <= 17.529027|plus_di_5_sft <= 36.880132,LONG,Ret_72,312,205,1.2682,1.3574
minus_di_13_sft >= -0.37|adx_144_sft >= 8.674729|macdh_200_sft <= ema_8_sft,LONG,Ret_96,250,151,1.2598,1.5251
efficiency_55_sft <= 6.32|efficiency_48_sft <= 0.142178|plus_di_34_sft >= 24.021143,LONG,Ret_96,213,145,1.3428,1.6657
aroon_120_sft >= -55.833332|aroon_13_sft <= 84.615387|plus_di_34_sft >= 20.409904,LONG,Ret_96,323,209,1.2623,1.6085
plus_di_144_sft <= ema_21_sft|minus_di_200_sft <= 19.846724,LONG,Ret_72,211,169,1.2897,1.357
adx_200_sft >= 10.138517|efficiency_13_sft >= 0.123341,LONG,Ret_48,227,137,1.2684,1.8132
adx_5_sft <= 51.964844|minus_di_48_sft <= 18.148701|minus_di_5_sft >= 6.560701,LONG,Ret_72,268,174,1.2712,1.4855
aroon_34_sft >= 79.411766|linreg_89_sft <= ema_89_sft,LONG,Ret_96,246,161,1.253,1.4144
minus_di_5_sft <= 4.71|linreg_13_sft <= 3.35,LONG,Ret_96,260,155,1.2725,1.4961
minus_di_144_sft <= 23.01281|adx_21_sft >= 28.71629|minus_di_8_sft <= 19.812439,LONG,Ret_72,204,133,1.3752,1.2579
plus_di_8_sft >= 33.824101|aroon_21_sft >= 4.761905,LONG,Ret_96,288,196,1.264,1.5101
plus_di_24_sft >= 24.478443|minus_di_8_sft <= ema_21_sft,LONG,Ret_96,298,198,1.2893,1.6348
minus_di_5_sft <= 5.7|ema_13_sft <= 1821.289453,LONG,Ret_96,262,30,1.282,1.755
adx_200_sft >= 7.534551|slope_89_sft >= -0.029242,LONG,Ret_72,275,153,1.2721,1.3923
plus_di_13_sft >= 25.549025|plus_di_24_sft >= 24.478443,LONG,Ret_96,294,195,1.2915,1.6019
trix_48_sft <= 0.020359|plus_di_8_sft >= 33.824101,LONG,Ret_96,280,181,1.3019,1.7547
linreg_24_sft >= 0.305797|adx_8_sft >= 42.556431|slope_24_sft >= 0.056331,LONG,Ret_96,219,154,1.2627,1.7667
