Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
stoch_24_sft <= 8.03,LONG,SINTETICA_REVERSE,2.568,0.9092,1834,285,1.5569,2.3432,1.0809,100.0,90.7,0.5747,0.6465
stoch_21_sft <= 94.405983|stoch_24_sft <= 7.89,LONG,SINTETICA_REVERSE,2.537,0.9108,1834,282,1.5827,2.3021,1.0804,100.0,90.7,0.5683,0.6487
stoch_89_sft <= 93.058556|stoch_24_sft <= 7.74,LONG,SINTETICA_REVERSE,2.513,0.9154,1834,280,1.577,2.2952,1.0789,100.0,91.4,0.5708,0.6484
stoch_24_sft <= 7.56,LONG,SINTETICA_REVERSE,2.513,0.9162,1834,283,1.5524,2.3168,1.074,100.0,91.5,0.5752,0.671
willr_144_sft <= -91.178513|stoch_48_sft >= 9.89,LONG,Ret_12,18.789,0.9669,1641,76,1.5259,2.1935,1.0716,100.0,92.9,0.7253,0.8061
stoch_13_sft >= Close_sft|stoch_24_sft <= 9.1,LONG,SINTETICA_REVERSE,2.31,0.9346,1830,311,1.5996,2.1994,1.07,100.0,90.1,0.5564,0.6546
stoch_13_sft <= 9.88|willr_34_sft <= -15.448543,LONG,SINTETICA_REVERSE,1.967,0.8711,2278,350,2.0,1.9477,1.0606,100.0,90.4,0.5725,0.6316
stoch_24_sft <= 7.76,LONG,SINTETICA_REVERSE,2.513,0.9154,1834,280,1.5517,2.2842,1.0575,100.0,91.4,0.5708,0.6459
stoch_24_sft <= 9.87|willr_48_sft <= -4.516459,LONG,SINTETICA_REVERSE,2.819,0.9379,1833,291,1.3979,2.4404,1.0498,100.0,90.0,0.5695,0.6479
stoch_24_sft <= 9.9,LONG,SINTETICA_REVERSE,2.87,0.9375,1833,291,1.3992,2.4387,1.0496,100.0,90.0,0.5693,0.6479
stoch_24_sft <= 8.98|cci_13_sft <= -6.13,LONG,SINTETICA_REVERSE,2.623,0.9377,1834,295,1.434,2.3745,1.0458,100.0,91.4,0.5725,0.6529
stoch_24_sft <= 9.94,LONG,SINTETICA_REVERSE,2.881,0.937,1833,289,1.3839,2.446,1.0415,100.0,90.0,0.5724,0.6479
stoch_24_sft <= 9.13|cci_34_sft <= 0.648631,LONG,SINTETICA_REVERSE,2.69,0.9361,1834,282,1.4141,2.3769,1.0316,100.0,90.0,0.5715,0.6606
cci_144_sft <= 53.769005|stoch_24_sft <= 9.26,LONG,SINTETICA_REVERSE,2.96,0.9383,1813,283,1.3507,2.4652,1.029,100.0,90.0,0.5826,0.6539
stoch_24_sft <= 9.99|cci_48_sft <= 73.932137|stoch_120_sft <= 77.102669,LONG,SINTETICA_REVERSE,2.96,0.9371,1833,267,1.3529,2.467,1.0286,100.0,90.4,0.5778,0.6507
stoch_13_sft <= 8.82|stoch_13_sft <= 45.251888,LONG,SINTETICA_REVERSE,2.007,0.8669,2976,335,2.0,1.9538,1.0236,100.0,90.4,0.5648,0.6602
stoch_21_sft <= 8.65,LONG,SINTETICA_REVERSE,2.545,0.8813,2216,304,1.5143,2.4064,1.0227,100.0,90.9,0.5711,0.6537
stoch_34_sft <= 8.83|stoch_24_sft <= 46.792934,LONG,SINTETICA_REVERSE,5.1,0.9628,822,242,0.9308,3.0007,1.0198,100.0,90.0,0.586,0.6614
cci_21_sft <= 142.398697|stoch_21_sft <= 8.75|cci_13_sft <= -4.07,LONG,SINTETICA_REVERSE,2.519,0.886,2216,306,1.5015,2.4043,1.0191,100.0,90.8,0.5734,0.6601
