Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
mom_120_sft <= -0.03868|mfi_48_sft >= -5.82,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
rsi_13_sft >= Close_sft|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|rsi_13_sft >= -3.63,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|rsi_55_sft >= -8.3,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft >= -8.8|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|mom_55_sft <= 1.16,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|cmo_24_sft <= 0.658498,LONG,SINTETICA_REVERSE,24.011,0.9863,1537,119,1.3061,3.7635,1.6364,100.0,95.5,0.7123,0.7878
rsi_144_sft <= 48.051632|mom_48_sft <= -0.05927,LONG,SINTETICA_REVERSE,28.036,0.9848,1977,78,1.8925,2.7493,1.6357,100.0,94.1,0.7082,0.7588
roc_120_sft <= -3.97|rsi_55_sft >= -8.22,LONG,SINTETICA_REVERSE,25.188,0.9906,1591,97,1.1497,4.1918,1.6193,100.0,95.8,0.7237,0.7868
mom_120_sft <= -0.01699|force_55_sft >= -14.689145,LONG,SINTETICA_REVERSE,6.66,0.9733,734,212,1.1744,3.7481,1.619,100.0,90.6,0.6119,0.6454
cmo_24_sft <= Close_sft|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,24.766,0.9851,1469,117,1.2838,3.7642,1.6187,100.0,95.5,0.7205,0.7878
roc_120_sft <= -4.4,LONG,SINTETICA_REVERSE,25.854,0.9805,2786,77,1.4339,3.7002,1.6147,100.0,96.0,0.7339,0.8482
force_144_sft >= -9.216394|rsi_8_sft >= 20.816582|mom_120_sft <= -0.01699,LONG,SINTETICA_REVERSE,6.622,0.9528,641,210,1.2357,3.5636,1.612,100.0,92.8,0.5856,0.6345
mom_120_sft <= -0.03868|force_120_sft >= -22.447802,LONG,SINTETICA_REVERSE,13.766,0.975,1469,111,1.1651,4.133,1.6082,100.0,95.7,0.7075,0.7816
force_13_sft >= 9.25|mfi_89_sft <= 53.894596|mom_120_sft <= -0.01699,LONG,Ret_12,8.925,0.9868,823,110,1.5401,2.9012,1.6076,100.0,91.9,0.6757,0.7738
mom_120_sft <= -0.03868|force_55_sft <= 31.711349,LONG,SINTETICA_REVERSE,17.786,0.9856,1469,114,1.0253,4.5713,1.5995,100.0,93.8,0.7382,0.7751
force_200_sft <= 13.266931|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,24.767,0.9899,1469,114,0.9465,4.893,1.599,100.0,93.8,0.7398,0.7759
mom_48_sft <= -0.05927|rsi_120_sft >= -7.97|cmo_120_sft <= -4.463412,LONG,SINTETICA_REVERSE,27.119,0.9783,1977,77,1.8276,2.795,1.598,100.0,94.1,0.7059,0.7588
mom_120_sft <= -0.03868|mfi_55_sft <= 60.231335,LONG,SINTETICA_REVERSE,20.544,0.9852,1469,116,0.9332,4.9637,1.5938,100.0,93.8,0.7557,0.7417
mom_120_sft <= -0.03868|force_120_sft <= 19.156584,LONG,SINTETICA_REVERSE,18.149,0.9876,1469,115,0.9984,4.6567,1.5936,100.0,93.9,0.7291,0.7821
rsi_55_sft <= 54.127712|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,23.692,0.9872,1469,112,0.9815,4.7293,1.5929,100.0,94.6,0.7337,0.7799
mom_120_sft <= -0.03868|mfi_34_sft <= 63.330288,LONG,SINTETICA_REVERSE,24.863,0.9902,1469,121,0.9445,4.8705,1.5892,100.0,93.9,0.725,0.7737
mom_120_sft <= -0.03868|force_200_sft <= 5.5,LONG,SINTETICA_REVERSE,17.028,0.9864,1537,113,1.0726,4.3777,1.5875,100.0,93.7,0.7182,0.7746
mom_120_sft <= -0.03868|force_144_sft <= 6.032463,LONG,SINTETICA_REVERSE,18.522,0.9819,1537,112,1.095,4.3046,1.5837,100.0,93.8,0.7423,0.7789
roc_89_sft <= 4.974923|mom_120_sft <= -0.03868|rsi_55_sft >= -0.63,LONG,SINTETICA_REVERSE,26.919,0.988,1469,110,0.9417,4.8756,1.5831,100.0,94.6,0.7317,0.7802
mom_120_sft <= -0.01699|rsi_5_sft >= 48.195057,LONG,SINTETICA_REVERSE,8.109,0.9724,1138,231,1.4568,3.1945,1.5803,100.0,90.9,0.6014,0.5854
cmo_5_sft >= -3.609887|mom_120_sft <= -0.01699,LONG,SINTETICA_REVERSE,8.177,0.9722,1138,231,1.4551,3.1972,1.5796,100.0,90.9,0.6015,0.5854
roc_120_sft <= -3.342182|roc_48_sft <= 4.916627,LONG,SINTETICA_REVERSE,28.557,0.9894,1112,115,0.8222,5.2744,1.5778,100.0,93.0,0.7355,0.736
mom_89_sft <= 0.05506|roc_120_sft <= -3.342182|mfi_200_sft >= -9.6,LONG,SINTETICA_REVERSE,27.205,0.9889,1112,114,0.8555,5.0795,1.5736,100.0,93.0,0.7245,0.736
mom_120_sft <= -0.01699|force_48_sft >= -15.472201,LONG,SINTETICA_REVERSE,6.911,0.9787,734,214,1.1105,3.8052,1.5699,100.0,90.8,0.6129,0.628
roc_120_sft <= -3.342182|roc_48_sft <= 4.33,LONG,SINTETICA_REVERSE,28.624,0.9891,1112,114,0.8231,5.2341,1.5668,100.0,93.0,0.7255,0.736
roc_120_sft <= -3.342182|roc_13_sft <= 9.43,LONG,SINTETICA_REVERSE,28.633,0.9898,1112,116,0.808,5.3169,1.5667,100.0,92.5,0.7345,0.7057
rsi_55_sft <= 57.88633|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,25.45,0.9896,1469,110,0.909,4.9638,1.5635,100.0,94.6,0.7396,0.7808
roc_55_sft <= -5.64|mfi_120_sft >= Close_sft|mom_55_sft <= 0.00012,LONG,SINTETICA_REVERSE,16.787,0.9701,1859,83,2.0,2.5055,1.5602,100.0,94.8,0.6439,0.7034
mfi_8_sft >= -9.51|roc_120_sft <= -3.91,LONG,SINTETICA_REVERSE,26.08,0.9948,1591,97,1.0506,4.3626,1.5583,100.0,96.4,0.7397,0.7986
roc_120_sft <= -4.26,LONG,SINTETICA_REVERSE,28.049,0.9893,2661,78,1.3006,3.8511,1.5573,100.0,96.2,0.748,0.8664
roc_120_sft <= -4.23,LONG,SINTETICA_REVERSE,27.887,0.9915,2661,78,1.2733,3.9164,1.5562,100.0,96.2,0.755,0.8664
roc_120_sft <= -4.22,LONG,SINTETICA_REVERSE,26.603,0.9913,2661,78,1.2753,3.9116,1.5562,100.0,96.2,0.743,0.8664
rsi_89_sft <= 55.233551|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,27.939,0.9886,1112,113,0.8216,5.2056,1.555,100.0,93.0,0.7258,0.736
rsi_48_sft <= 58.86327|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,25.453,0.9896,1469,110,0.9042,4.9587,1.5544,100.0,94.6,0.7397,0.7799
force_89_sft <= 8.678281|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,15.773,0.9817,1469,114,1.1202,4.1131,1.5542,100.0,93.7,0.7116,0.7575
roc_13_sft <= Close_sft|roc_120_sft <= -3.17|rsi_55_sft >= 5.55,LONG,SINTETICA_REVERSE,19.243,0.9859,1112,130,1.1343,3.8921,1.5528,100.0,94.9,0.7097,0.7252
mom_55_sft <= 0.02102|mom_120_sft <= -0.03868|rsi_34_sft <= 56.17654,LONG,SINTETICA_REVERSE,25.514,0.9884,1469,110,0.9619,4.6783,1.5489,100.0,94.9,0.7438,0.7724
roc_120_sft <= -3.342182|mfi_13_sft >= Close_sft,LONG,SINTETICA_REVERSE,28.214,0.9902,1112,117,0.8004,5.297,1.5484,100.0,92.6,0.731,0.7189
mom_120_sft <= -0.03868|roc_120_sft <= -3.342182|rsi_5_sft <= 70.009766,LONG,SINTETICA_REVERSE,21.946,0.9744,1469,132,1.1314,4.0908,1.5484,100.0,95.5,0.7072,0.765
roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
mom_21_sft <= Close_sft|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
roc_120_sft <= -3.342182|mfi_200_sft >= 4.84,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
roc_120_sft <= -3.342182|rsi_13_sft >= Close_sft,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
mom_8_sft <= Close_sft|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
roc_120_sft <= -3.342182|mom_200_sft <= Close_sft,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
rsi_21_sft >= 4.7|roc_120_sft <= -3.342182|rsi_21_sft >= Close_sft,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
rsi_21_sft >= Close_sft|roc_120_sft <= -3.342182|mom_144_sft <= Close_sft,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
rsi_34_sft >= -0.22|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
mom_13_sft <= 6.57|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
rsi_8_sft >= Close_sft|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
mom_89_sft <= 9.45|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
mom_55_sft <= 9.81|mfi_34_sft >= Close_sft|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
roc_120_sft <= -3.342182|mom_200_sft >= -4.6,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
roc_120_sft <= -3.342182|rsi_24_sft >= -2.95,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
mfi_48_sft >= Close_sft|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
roc_120_sft <= -3.342182|mom_120_sft <= -0.01699,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
roc_120_sft <= -3.342182|mfi_120_sft >= 5.39,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
mfi_120_sft >= -0.22|roc_120_sft <= -3.342182|mfi_120_sft >= -2.49,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
roc_120_sft <= -3.342182|mfi_48_sft >= -6.1,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
mfi_120_sft >= 9.13|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
roc_120_sft <= -3.342182|rsi_24_sft >= -3.26,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
rsi_48_sft >= -9.1|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
mfi_34_sft >= Close_sft|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
mom_21_sft <= 5.01|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
roc_120_sft <= -3.342182|mfi_200_sft >= Close_sft,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
mom_34_sft <= Close_sft|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
