Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
adx_200_sft >= 3.267012|minus_di_48_sft <= 24.211508,SHORT,SINTETICA_REVERSE,18.003,0.9257,1318,97,1.1432,1.9636,0.7235,100.0,92.6,0.6763,0.6412
adx_34_sft >= 12.021724|minus_di_48_sft <= 24.211508,SHORT,SINTETICA_REVERSE,24.355,0.9724,582,97,0.8893,2.0727,0.7193,100.0,90.8,0.7155,0.6593
ema_120_sft >= 1.09297|aroon_144_sft >= -8.77|macdh_34_sft >= 2e-06,SHORT,SINTETICA_REVERSE,9.505,0.9755,2725,109,0.9086,2.5047,0.7171,100.0,90.4,0.6703,0.6215
linreg_144_sft >= 0.00033|macdh_89_sft >= -0.001249|plus_di_34_sft >= ema_144_sft,SHORT,Ret_12,8.332,0.9872,3403,75,1.0257,2.2788,0.7168,100.0,91.8,0.706,0.6334
trix_55_sft >= 0.02781|slope_200_sft >= -0.087525,SHORT,Ret_12,8.946,0.9796,2279,92,1.0063,2.2111,0.7132,100.0,92.8,0.6491,0.5654
aroon_120_sft >= 72.5|trix_48_sft >= -0.000983,SHORT,Ret_12,11.53,0.969,1260,82,1.0844,1.9267,0.7124,100.0,94.6,0.7264,0.7542
adx_120_sft >= 4.045436|aroon_120_sft >= 72.5,SHORT,Ret_12,9.935,0.9677,1783,81,1.1129,1.969,0.7103,100.0,96.1,0.7581,0.7872
trix_89_sft >= 0.014626|ema_21_sft >= 1.064261,SHORT,Ret_12,2.72,0.8913,3293,82,2.0,1.3339,0.7095,100.0,91.8,0.5106,0.663
ema_200_sft >= -5.67|trix_89_sft >= 0.014626|trix_34_sft >= -0.022799,SHORT,Ret_12,3.063,0.8316,3310,80,2.0,1.4286,0.7085,99.9,92.4,0.5642,0.682
aroon_120_sft >= 72.5|linreg_200_sft >= -0.000144,SHORT,Ret_12,12.056,0.9626,1260,85,1.0248,2.0292,0.7079,100.0,93.6,0.7336,0.7681
efficiency_55_sft >= 0.025103|trix_21_sft <= 8.62|trix_55_sft >= 0.02781,SHORT,SINTETICA_REVERSE,13.311,0.934,2279,76,1.1673,2.0092,0.7078,100.0,92.1,0.6506,0.5951
plus_di_21_sft <= 46.044819|trix_24_sft >= 0.078235,SHORT,Ret_12,7.18,0.9199,1847,78,1.835,1.2977,0.7067,100.0,94.1,0.6208,0.6883
aroon_120_sft >= 72.5|ema_34_sft >= ema_89_sft,SHORT,Ret_12,11.884,0.955,1260,80,1.0824,1.9273,0.7012,100.0,94.6,0.7279,0.7603
slope_55_sft >= 0.263|ema_5_sft >= ema_48_sft|aroon_120_sft >= -32.5,SHORT,SINTETICA_REVERSE,59.983,0.9816,2862,79,0.9554,2.3299,0.698,100.0,95.3,0.7594,0.7959
plus_di_200_sft >= 35.423042|efficiency_48_sft >= 0.029257,SHORT,SINTETICA_REVERSE,6.054,0.8806,3227,80,1.9016,1.3893,0.6976,100.0,95.6,0.567,0.7611
aroon_120_sft >= 72.5|adx_48_sft >= 7.433785,SHORT,Ret_12,7.638,0.9739,1776,89,1.0454,2.0333,0.6975,100.0,94.1,0.7473,0.7297
trix_89_sft >= 0.014626|ema_8_sft >= 1.062305,SHORT,Ret_12,2.681,0.8863,3293,82,2.0,1.3184,0.6974,100.0,92.9,0.5544,0.6763
linreg_144_sft >= 0.00033|slope_55_sft >= -0.280609,SHORT,Ret_12,6.689,0.9844,3403,79,1.0157,2.2309,0.6935,100.0,91.0,0.6975,0.6347
plus_di_21_sft >= 22.515108|trix_55_sft >= 0.02781,SHORT,Ret_12,14.162,0.983,2279,82,0.9704,2.1883,0.6854,100.0,93.1,0.6794,0.5517
trix_48_sft >= -0.000983|macdh_200_sft >= 0.000535,SHORT,Ret_12,14.918,0.9777,1706,79,0.8866,2.2969,0.685,100.0,94.2,0.7298,0.6396
efficiency_21_sft <= 0.680867|plus_di_200_sft >= 35.423042,SHORT,SINTETICA_REVERSE,5.529,0.9227,3397,84,2.0,1.2478,0.6845,100.0,96.3,0.5716,0.7317
linreg_120_sft >= 0.000244|linreg_13_sft <= -0.000831,SHORT,Ret_12,7.772,0.9907,1221,125,0.6845,2.7154,0.6829,100.0,91.2,0.6832,0.6707
trix_89_sft >= 0.014626|plus_di_200_sft >= 28.644665,SHORT,Ret_12,2.453,0.8706,3293,87,2.0,1.3112,0.6812,99.9,90.5,0.5572,0.6472
linreg_48_sft >= -0.001462|trix_55_sft >= 0.02781,SHORT,Ret_12,10.945,0.9763,2279,88,0.9601,2.2028,0.6786,100.0,92.4,0.6625,0.5102
