Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
mom_120_sft >= 0.03876|rsi_120_sft >= 0.81|mom_24_sft <= Close_sft,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|mom_144_sft >= -9.57,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
rsi_34_sft >= Close_sft|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_55_sft <= Close_sft|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|mom_120_sft >= -0.03868,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_8_sft <= 3.62|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|rsi_48_sft >= 3.17,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|rsi_120_sft >= 4.98,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|rsi_13_sft >= Close_sft,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mfi_48_sft >= 9.41|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= -0.00076|rsi_144_sft >= -0.83|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mfi_89_sft >= -9.01|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_21_sft >= -1.52|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
rsi_55_sft >= -5.39|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|rsi_5_sft >= -9.31,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|mfi_34_sft >= Close_sft,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
rsi_200_sft >= Close_sft|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_89_sft <= Close_sft|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
rsi_89_sft >= -0.15|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|rsi_144_sft >= Close_sft|rsi_200_sft >= -1.84,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mfi_89_sft >= Close_sft|rsi_21_sft >= Close_sft|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|rsi_144_sft >= -6.95,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|mom_13_sft <= 3.73,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mfi_34_sft >= 8.11|rsi_8_sft >= Close_sft|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_200_sft <= Close_sft|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|rsi_34_sft >= -7.27,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
rsi_13_sft >= 5.93|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|mfi_21_sft >= 8.5,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_89_sft <= 8.26|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
rsi_48_sft >= -2.99|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|mfi_34_sft >= 6.85,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|mfi_200_sft >= Close_sft,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|mfi_13_sft >= 1.74,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
rsi_21_sft >= 8.78|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_21_sft <= Close_sft|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|mom_120_sft >= 0.01816,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|rsi_55_sft >= 2.25,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|rsi_55_sft >= Close_sft,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
roc_34_sft <= 4.797623|mfi_13_sft >= -6.28|roc_120_sft >= 3.482884,SHORT,SINTETICA_REVERSE,10.808,0.9574,2089,106,1.8686,2.6255,1.4896,100.0,91.4,0.6105,0.673
roc_34_sft <= 4.797623|roc_120_sft >= 3.482884|mom_21_sft <= 2.36,SHORT,SINTETICA_REVERSE,10.808,0.9574,2089,106,1.8686,2.6255,1.4896,100.0,91.4,0.6105,0.673
roc_34_sft <= 4.797623|roc_120_sft >= 3.482884,SHORT,SINTETICA_REVERSE,10.808,0.9574,2089,106,1.8686,2.6255,1.4896,100.0,91.4,0.6105,0.673
roc_120_sft >= 3.482884|roc_48_sft >= -6.68,SHORT,SINTETICA_REVERSE,37.349,0.9771,1715,121,1.1182,4.0476,1.4885,100.0,90.2,0.6949,0.6923
rsi_120_sft >= 47.768295|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,35.868,0.9623,1715,125,1.1417,4.028,1.4869,100.0,90.2,0.7013,0.7034
roc_21_sft >= -4.061279|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.419,0.9506,1715,121,1.2116,3.8568,1.4856,100.0,90.2,0.7169,0.7132
mom_120_sft >= 0.03876|mom_34_sft <= 0.05308,SHORT,SINTETICA_REVERSE,14.026,0.9547,1838,111,1.7704,2.7166,1.485,100.0,92.2,0.6604,0.6931
mfi_8_sft >= Close_sft|roc_200_sft >= -5.111937|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,36.592,0.9685,1715,123,1.126,4.0348,1.48,100.0,91.3,0.7159,0.7044
mom_120_sft >= 0.04,SHORT,SINTETICA_REVERSE,42.801,0.9733,1715,118,1.1214,4.0268,1.4789,100.0,91.7,0.7389,0.6716
roc_120_sft >= 4.32,SHORT,SINTETICA_REVERSE,101.124,0.9749,1709,89,1.1921,3.7952,1.4777,100.0,92.4,0.7529,0.7597
rsi_144_sft >= 48.051632|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,35.103,0.9622,1715,124,1.1363,4.018,1.4766,100.0,90.2,0.7046,0.7034
mfi_55_sft >= 6.07|roc_13_sft >= -2.808466|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,38.576,0.9452,1715,121,1.2295,3.8017,1.4759,100.0,90.2,0.7073,0.7015
mom_120_sft >= 0.03876|cmo_5_sft >= -68.36451,SHORT,SINTETICA_REVERSE,37.552,0.9658,1715,131,1.1062,4.0939,1.4736,100.0,91.0,0.7168,0.7041
roc_120_sft >= 3.482884|roc_34_sft >= -3.73,SHORT,SINTETICA_REVERSE,29.531,0.973,1715,121,1.1065,4.0615,1.4731,100.0,90.2,0.704,0.6902
rsi_34_sft >= 37.543858|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.874,0.9676,1715,127,1.0902,4.1316,1.47,100.0,90.9,0.7173,0.711
mom_13_sft >= -0.03201|roc_120_sft >= 3.482884,SHORT,SINTETICA_REVERSE,35.53,0.9671,1715,118,1.1874,3.8133,1.4668,100.0,90.2,0.684,0.6797
mom_13_sft >= -0.03201|rsi_200_sft >= Close_sft|roc_120_sft >= 3.482884,SHORT,SINTETICA_REVERSE,35.53,0.9671,1715,118,1.1874,3.8133,1.4668,100.0,90.2,0.684,0.6797
roc_13_sft >= -2.808466|roc_120_sft >= 3.482884,SHORT,SINTETICA_REVERSE,36.017,0.966,1715,119,1.1857,3.8208,1.4661,100.0,90.2,0.6885,0.6768
cmo_55_sft >= -0.25524|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,31.925,0.9486,1715,111,1.3254,3.5097,1.4661,100.0,91.9,0.6963,0.7019
roc_120_sft >= 3.482884|rsi_144_sft >= 48.051632|roc_24_sft >= -4.414252,SHORT,SINTETICA_REVERSE,44.647,0.9717,1715,118,1.1315,3.9558,1.4626,100.0,90.2,0.6984,0.6916
roc_24_sft >= -4.15|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,42.657,0.9608,1715,118,1.1359,3.9825,1.4611,100.0,90.2,0.7197,0.7234
roc_120_sft >= 3.482884|rsi_5_sft >= 15.817744,SHORT,SINTETICA_REVERSE,38.629,0.9769,1715,129,1.0803,4.0939,1.4584,100.0,91.0,0.6932,0.6757
roc_120_sft >= 4.97,SHORT,SINTETICA_REVERSE,65.663,0.966,1852,77,1.3637,3.3558,1.451,100.0,93.6,0.7475,0.7998
roc_120_sft >= 4.36,SHORT,SINTETICA_REVERSE,87.951,0.9736,1709,90,1.1975,3.7107,1.4489,100.0,92.2,0.7432,0.7483
rsi_200_sft >= 48.462494|rsi_48_sft >= -1.92|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,39.992,0.9638,1715,121,1.1201,3.9871,1.4485,100.0,90.2,0.7131,0.7034
rsi_200_sft >= 48.462494|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,39.992,0.9638,1715,121,1.1201,3.9871,1.4485,100.0,90.2,0.7131,0.7034
