Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
cci_5_sft >= 126.459312|stoch_55_sft >= 18.249207,SHORT,SINTETICA_REVERSE,1.818,0.9139,2252,696,0.988,1.0406,0.3084,100.0,91.5,0.4986,0.5268
cci_5_sft >= 126.459312|willr_13_sft >= -55.18177,SHORT,SINTETICA_REVERSE,1.695,0.8757,2047,719,1.1338,0.9379,0.3058,99.9,91.2,0.4998,0.5239
cci_120_sft >= -4.3|stoch_89_sft <= 49.695614,SHORT,SINTETICA_REVERSE,4.347,0.932,2109,171,0.7722,1.2483,0.3051,100.0,91.1,0.5776,0.5697
cci_13_sft >= Close_sft|cci_5_sft >= 126.459312|cci_5_sft >= -83.22168,SHORT,SINTETICA_REVERSE,1.833,0.8968,1803,708,0.9857,1.0141,0.303,100.0,91.4,0.4991,0.5205
cci_5_sft >= 126.459312|willr_21_sft <= 5.46|willr_21_sft >= -54.225353,SHORT,SINTETICA_REVERSE,1.8,0.8944,2969,640,1.129,0.9496,0.3005,100.0,92.1,0.5064,0.5408
cci_55_sft >= -75.503113|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,1.571,0.8773,2969,763,1.3178,0.8372,0.2997,99.8,90.9,0.4981,0.5216
cci_13_sft >= 7.48|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,1.779,0.8721,2079,698,1.0912,0.9454,0.2958,100.0,91.5,0.4976,0.5209
cci_200_sft >= -9.61|willr_55_sft <= 2.37|cci_200_sft <= 5.86,SHORT,SINTETICA_REVERSE,2.463,0.9466,1344,184,1.3241,0.6742,0.2902,99.5,92.3,0.55,0.5719
willr_13_sft >= -55.18177|cci_5_sft >= 126.459312|willr_144_sft >= -74.801804,SHORT,SINTETICA_REVERSE,1.897,0.8993,2199,625,0.9675,0.9983,0.2866,100.0,91.8,0.4967,0.5285
cci_5_sft >= 126.459312|cci_24_sft >= 6.62,SHORT,SINTETICA_REVERSE,1.95,0.871,3017,615,1.0923,0.9589,0.2861,100.0,92.6,0.5073,0.5321
cci_24_sft >= -0.15|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,1.829,0.8666,3674,627,1.1714,0.9214,0.2847,99.9,92.5,0.5072,0.531
cci_5_sft >= 126.459312|cci_24_sft >= Close_sft,SHORT,SINTETICA_REVERSE,1.873,0.8674,3674,625,1.1443,0.9383,0.284,100.0,92.5,0.5072,0.533
cci_24_sft >= Close_sft|willr_5_sft <= 5.39|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,1.873,0.8674,3674,625,1.1443,0.9383,0.284,100.0,92.5,0.5072,0.533
cci_120_sft <= Close_sft|cci_144_sft >= -2.175368,SHORT,SINTETICA_REVERSE,3.438,0.8622,3037,99,2.0,0.545,0.2833,99.0,96.9,0.5521,0.5071
willr_8_sft >= -54.060326|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,1.536,0.856,2885,764,1.2594,0.8414,0.2829,99.9,90.6,0.4921,0.5249
cci_5_sft >= 126.459312|willr_8_sft >= -54.060326|willr_55_sft <= 9.06,SHORT,SINTETICA_REVERSE,1.536,0.856,2885,764,1.2594,0.8414,0.2829,99.9,90.6,0.4921,0.5249
cci_5_sft >= 126.459312|willr_24_sft >= -53.521126,SHORT,SINTETICA_REVERSE,1.977,0.9182,2952,630,0.9558,1.01,0.282,100.0,92.1,0.5115,0.534
willr_24_sft >= -53.521126|willr_89_sft >= -95.89949|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,1.976,0.9181,2952,629,0.9549,1.0095,0.2816,100.0,92.1,0.511,0.534
cci_5_sft >= 126.459312|stoch_24_sft >= 15.267533,SHORT,SINTETICA_REVERSE,1.789,0.9165,2360,756,0.8956,1.0285,0.2781,100.0,90.3,0.5001,0.5156
stoch_24_sft >= 15.267533|willr_13_sft <= 8.89|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,1.789,0.9165,2360,756,0.8956,1.0285,0.2781,100.0,90.3,0.5001,0.5156
cci_5_sft >= 126.459312|stoch_13_sft >= 45.251888,SHORT,SINTETICA_REVERSE,1.993,0.8735,3000,561,0.9964,1.0033,0.2762,100.0,93.1,0.5008,0.5158
stoch_48_sft >= 17.490028|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,1.811,0.9148,2480,702,0.9069,1.0083,0.2735,100.0,91.1,0.4972,0.5173
cci_13_sft >= -7.43|cci_5_sft >= 126.459312|willr_34_sft <= Close_sft,SHORT,SINTETICA_REVERSE,1.651,0.8265,1803,720,1.0818,0.9081,0.2722,99.9,90.8,0.4987,0.5198
cci_200_sft <= 6.84|cci_200_sft >= -9.15,SHORT,SINTETICA_REVERSE,3.062,0.9599,1344,179,1.08,0.7478,0.2705,99.8,92.5,0.5646,0.5611
cci_48_sft >= -79.328735|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,1.598,0.8355,3017,769,1.173,0.8848,0.2703,99.9,90.6,0.4982,0.5219
cci_5_sft >= 126.459312|stoch_34_sft >= 15.447154,SHORT,SINTETICA_REVERSE,1.795,0.9135,2480,737,0.8916,1.0109,0.2696,100.0,90.5,0.4979,0.5167
willr_89_sft >= -80.438568|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,1.781,0.9178,2460,741,0.8895,0.999,0.2674,100.0,90.4,0.4967,0.5131
cci_120_sft <= 8.01|cci_144_sft >= -2.175368|willr_200_sft <= -11.179173,SHORT,SINTETICA_REVERSE,2.587,0.914,2378,136,1.6164,0.572,0.2656,99.2,91.6,0.5413,0.4514
stoch_89_sft <= 79.419746|cci_144_sft >= -2.43|stoch_13_sft >= 80.231628,SHORT,SINTETICA_REVERSE,3.907,0.9672,1408,150,0.8528,0.8837,0.2584,99.9,92.7,0.5628,0.5471
cci_5_sft >= 126.459312|cci_24_sft >= -9.34,SHORT,SINTETICA_REVERSE,1.809,0.8733,3078,644,1.0191,0.9137,0.2559,100.0,91.7,0.5085,0.5328
cci_24_sft >= -7.465948|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,1.807,0.8723,3186,639,1.0249,0.9135,0.2558,100.0,91.7,0.5077,0.5336
cci_5_sft >= 126.459312|stoch_8_sft >= 18.257568|cci_13_sft >= -10.999592,SHORT,SINTETICA_REVERSE,1.643,0.824,1803,720,1.0274,0.8896,0.2536,99.9,90.4,0.4976,0.5194
cci_21_sft >= Close_sft|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,1.958,0.838,3674,634,0.9397,1.0376,0.2535,100.0,91.9,0.5065,0.5308
stoch_200_sft >= 25.870382|willr_144_sft >= -7.38|cci_48_sft <= 132.840698,SHORT,SINTETICA_REVERSE,22.886,0.9131,1587,80,0.46,1.4911,0.238,100.0,90.2,0.6715,0.6046
cci_5_sft >= 126.459312|cci_21_sft >= -3.24,SHORT,SINTETICA_REVERSE,1.909,0.8481,3186,640,0.8595,0.9897,0.2298,100.0,91.4,0.5042,0.5295
cci_21_sft >= -9.064371|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,1.896,0.8495,3674,652,0.8737,0.9871,0.2289,100.0,91.3,0.5043,0.5282
willr_89_sft <= -50.290939|stoch_200_sft >= 48.789024|cci_48_sft <= -8.83,SHORT,SINTETICA_REVERSE,6.79,0.9638,3103,116,0.4449,1.2494,0.1878,100.0,93.1,0.6162,0.4943
cci_200_sft <= Close_sft|cci_200_sft >= -2.236664|hour_sft >= 3.04,SHORT,SINTETICA_REVERSE,3.604,0.8138,2373,89,1.729,0.3294,0.1452,99.6,97.1,0.5374,0.5652
cci_200_sft >= -2.236664|cci_200_sft <= 1.33,SHORT,SINTETICA_REVERSE,2.893,0.8162,3169,103,1.8838,0.3058,0.1414,99.0,92.9,0.5186,0.5475
willr_89_sft <= -50.290939|cci_8_sft >= -10.518787|cci_89_sft >= -7.43,SHORT,SINTETICA_REVERSE,3.271,0.5989,3062,112,1.4248,0.534,0.1398,99.2,93.2,0.5373,0.6209
cci_200_sft >= -2.236664|cci_200_sft <= Close_sft,SHORT,SINTETICA_REVERSE,3.046,0.8127,3169,98,1.7553,0.3111,0.1339,99.2,92.9,0.5306,0.5457
willr_200_sft >= -11.179173|willr_24_sft <= -15.986311|stoch_24_sft >= 46.792934,SHORT,SINTETICA_REVERSE,6.169,0.8159,2736,78,0.9386,0.4873,0.1201,99.8,91.4,0.5773,0.5352
cci_200_sft <= Close_sft|cci_200_sft >= -2.236664|stoch_21_sft <= 94.405983,SHORT,SINTETICA_REVERSE,2.98,0.7895,3462,90,1.6926,0.2992,0.1196,99.2,92.5,0.5246,0.5308
