Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
minus_di_55_sft >= 39.365353|slope_24_sft <= ema_8_sft,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
slope_120_sft >= -2.58|minus_di_55_sft >= 39.365353|macdh_34_sft >= -6.64,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|plus_di_55_sft >= ema_21_sft,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
trix_13_sft >= -0.92|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_24_sft >= 19.062002|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|minus_di_13_sft >= ema_5_sft,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|adx_13_sft >= 5.54,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
plus_di_13_sft >= ema_34_sft|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
trix_200_sft >= -8.7|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|ema_120_sft <= 9.93,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
trix_24_sft >= -1.65|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|slope_34_sft <= ema_24_sft,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
